Name;LexminIPS;LexminPIS;LongestIPS;LongestPIS;MinimalIPS;MinimalPIS;BuggyIPS;BuggyPIS
CTCAssignment;0;0;0;0;0;0;0;0
ChuckPosition;1;1;1;1;1;1;1;1
ClosingRequest;1;0;0;1;0;1;0;1
ConditioningIdleBusyMonitor;1;1;1;1;1;1;1;1
DerivedLogic;1;1;1;1;1;1;1;1
DispatchMachineStatus;1;1;1;1;1;1;1;1
ERXAShow;1;1;1;1;1;1;1;1
ExtraConditioning;1;1;1;1;1;1;1;1
ExtraConditioningArmor;1;1;1;1;1;1;1;1
IdleBusyReporter_Processor;1;1;1;1;1;1;1;1
InlineAction;1;1;1;1;1;1;1;1
InlineActionArmor;1;1;1;1;1;1;1;1
InputListController;0;0;0;0;0;0;0;0
InputList0Event;1;1;1;1;1;1;1;1
InputPathArmor;1;1;0;1;0;1;1;1
Internal;1;1;1;1;1;1;1;1
InterruptPropertySetter;1;1;1;1;1;1;1;1
LOPW;0;0;0;0;0;0;0;0
LOPW_armor;0;0;0;0;0;0;0;0
LOPW_wtc;1;1;1;1;1;1;1;1
LOQMIdleBusyReporter;0;0;0;1;0;0;1;1
LoadListController;0;0;0;0;0;0;0;0
LoadList0Event;1;1;1;1;1;1;1;1
LoadUnloadIntegrityController;0;0;0;0;0;0;0;0
LoadUnloadProtocol;0;0;0;0;0;0;0;0
LogisticsController;0;0;0;0;0;0;0;0
LogisticsIdleMonitor;1;1;0;0;1;1;0;1
LogisticsInitializer;0;0;0;0;0;0;0;0
LotAbortProtocol;1;1;1;1;1;1;1;1
LotController;0;0;0;0;0;0;0;0
LotFinishedSynchronizer;1;1;1;1;1;1;1;1
LotIdleMonitor;1;1;1;1;1;1;1;1
LotLogisticsConnection_EndOfLot;0;0;0;0;0;0;0;0
LotPostProcessor;0;0;0;0;0;0;0;0
LotPostProcessorArmor;1;1;1;1;1;1;1;1
LotPrepareArmor1;0;0;0;0;0;0;0;0
LotPrepareArmor2;0;0;0;0;0;0;0;0
LotPrepareListController;0;0;0;0;0;0;0;0
LotPrepareList0Event;1;1;1;1;1;1;1;1
LotPrepareUnprepare;0;0;0;0;0;0;0;0
LotPrepareUnprepareIntegrityController;1;1;1;1;1;1;1;1
LotPreprocessListController;0;0;0;0;0;0;0;0
LotPreprocessList0Event;1;1;1;1;1;1;1;1
LotPreprocessorArmor;0;0;0;0;0;0;0;1
LotProcessListController;0;0;0;0;0;0;0;0
LotProcessList0Event;1;1;1;1;1;1;1;1
LotProcessStateController;0;0;0;0;0;0;0;0
LotProcessingListController;0;0;0;0;0;0;0;0
LotProcessingList0Event;1;1;1;1;1;1;1;1
LotProcessor;0;0;0;0;0;0;0;0
LotQueueController;0;0;0;0;0;0;0;0
LotQueueIntegrityController;0;0;1;1;0;0;0;0
LotStreamConstructor_BeforeFirstWafer_Armor;0;0;0;0;0;0;0;0
LotStreamConstructor_EndOfStream;0;0;0;0;0;0;0;0
LotStreamConstructor_EndOfStream_Armor;1;1;1;1;1;1;1;1
LotStreamConstructor_PauseLotSideStream;1;1;1;1;1;1;1;1
LotUnprepareArmor;0;1;1;1;1;1;1;1
LotUnprepareListController;0;0;0;0;0;0;0;0
LotUnprepareList0Event;1;1;1;1;1;1;1;1
LotWaferProperties;0;0;0;0;0;0;0;0
MActions;0;0;0;0;0;0;0;0
MActionsArmor;0;1;0;1;0;1;0;1
MX;0;0;0;0;0;0;0;0
MXArmor;0;0;0;0;0;0;0;0
MXIdleBusyReporter;1;1;1;1;1;1;1;1
MiscActionsIntegrityController;1;0;1;0;1;1;1;1
NextRequestTimer_Dry;1;1;1;1;1;1;1;1
NextRequestTimer_NXT;1;1;1;1;1;1;1;1
OEDEIdleBusyReporter;1;1;1;1;1;1;1;1
OutputListController;0;0;0;0;0;0;0;0
OutputList0Event;1;1;1;1;1;1;1;1
OutputProtocol;0;0;0;0;0;0;0;0
PassThroughAdapter;1;1;1;1;1;1;1;1
PassThroughArmor;1;1;1;1;1;1;1;1
PostProcessIntegrityController;1;1;1;1;1;1;1;1
PostProcessListController;0;0;0;0;0;0;0;0
PostProcessList0Event;1;1;1;1;1;1;1;1
PostProcessProtocol;0;0;0;0;0;0;0;0
PrepareSource;1;1;1;1;1;1;1;1
ProductionRequest;0;0;0;0;0;0;0;0
RH;1;1;1;1;1;1;1;1
RHArmor;1;1;1;1;1;1;1;1
RLT_Diag0stics;1;1;1;1;1;1;1;1
RLT_Diag0sticsArmor;1;1;1;1;1;1;1;1
RLT_EventReflector;1;1;1;1;1;1;1;1
RLT_PredictorExpose;1;1;1;1;1;1;1;1
RLT_PredictorExposeSide;0;0;0;0;0;0;0;0
RLT_PredictorInputPath;1;0;1;0;1;0;1;0
RLT_PredictorMeasure;1;1;1;1;1;1;1;1
RLT_PredictorPreExpose;1;1;1;1;1;1;1;1
RLT_PredictorSwapExpose;1;1;1;1;1;1;1;1
RLT_PredictorSwapMeasure;1;1;1;1;1;1;1;1
RLT_PredictorWex;1;1;1;1;1;1;1;1
RLT_PreloadPrediction;1;1;1;1;1;1;1;1
RLT_PreloadPredictionArmor;1;1;1;1;1;1;1;1
RLT_Recorder;0;0;0;0;0;0;0;0
RLT_RecorderExpose;1;1;1;1;1;1;1;1
RLT_RecorderExposeArmor;1;1;1;1;1;1;1;1
RLT_RecorderInputPath;0;0;1;1;1;1;1;1
RLT_RecorderInputPathArmor;1;1;1;1;1;1;1;1
RLT_RecorderMeasure;0;0;0;0;0;0;0;0
RLT_RecorderMeasureArmor;1;1;1;1;1;1;1;1
RLT_RecorderPreExpose;1;1;1;1;1;1;1;1
RLT_RecorderPreExposeArmor;1;1;1;1;1;1;1;1
RLT_RecorderSwap;0;0;0;0;0;0;0;0
RLT_RecorderSwapArmor;1;1;1;1;1;1;1;1
RLT_RecorderWex;1;1;0;1;0;1;0;1
RLT_RecorderWexArmor;1;1;1;1;1;1;1;1
RLT_WorkInProgressMonitor;0;0;0;0;0;0;0;0
RecoveryArmor;1;1;1;1;1;1;1;1
RecoveryPrepareAdapter;1;1;1;1;1;1;1;1
RecoveryPrepareArmor;1;1;1;1;1;1;1;1
RecoveryProtocol;0;0;0;0;0;0;0;0
RequestInputIntegrityController;0;0;0;0;0;0;0;0
RequestListController;0;0;0;0;0;0;0;0
RequestList0Event;1;1;1;1;1;1;1;1
ResyncChecks_Armor;1;1;1;1;1;1;1;1
ResyncChuckState_Dry;1;1;1;1;1;1;1;1
ResyncChuckState_NXT;1;1;1;1;1;1;1;1
ResyncControllerChucks_Init_Dry;0;0;1;1;0;1;0;0
ResyncControllerChucks_Init_NXT;1;1;1;1;1;1;1;1
ResyncControllerInput;1;1;1;1;1;0;1;1
ResyncControllerInput_Closing_NXT;0;0;0;0;1;1;1;1
ResyncControllerInput_Mactions_Dry;1;1;1;1;1;1;1;1
ResyncControllerInput_Mactions_NXT;0;0;0;0;0;0;0;0
ResyncControllerInput_Production_NXT;0;0;0;0;0;0;0;0
ReuseCapacity_GetRequestMethod;0;0;0;0;0;0;0;0
ReuseWaferEmptyCarrier;1;1;1;1;1;1;1;1
RuntimeMachineState_recovery;1;1;1;1;1;1;1;1
StartStreamTimer;1;1;1;1;1;1;1;1
StreamConstructIntegrityController_Dry;0;0;0;0;0;0;0;0
StreamConstructIntegrityController_NXT;0;0;0;0;0;0;0;0
StreamConstructor_CTC_BESWetting_NXT;0;0;0;0;0;0;0;0
StreamConstructor_CTC_Full_NXT;0;0;0;0;0;0;0;0
StreamConstructor_ClosingWaferRefresh_NXT;0;0;0;0;0;0;0;0
StreamConstructor_CoolingCyclesPost_NXT;0;0;0;0;0;0;0;0
StreamConstructor_CoolingCycles_Dry;1;1;1;1;1;1;1;1
StreamConstructor_DualChuckExpose_Dry;0;0;0;0;0;0;0;0
StreamConstructor_EmptyChucks_Dry;1;1;1;1;1;1;1;1
StreamConstructor_EmptyChucks_NXT;1;1;1;1;1;1;1;1
StreamConstructor_EndOfStream;1;1;1;1;1;1;1;1
StreamConstructor_ExtraConditioning_NXT;0;0;0;0;0;0;1;1
StreamConstructor_FinishLot_Dry;0;0;0;0;0;0;0;0
StreamConstructor_FinishLot_Dynamic_Dry;0;0;0;0;0;0;0;0
StreamConstructor_FinishLot_Dynamic_NXT;0;0;1;0;0;0;0;0
